nama_pengguna,tanggal,ulasan,label_sentimen,nama_layanan kesehatan
Desy Lusiana,seminggu lalu,Alhamdulillah sejak dari awal pemeriksaan sampai saat ini tidak ada kendala/masalah dan juga pelayanannya ramah,positif,RSU Anna Medika Madura
Nurul Komariyah,sebulan lalu,"terimakasih anna medika madura, alhamdulillah pelayanan rawat jalan sangat memuaskan, dokter ramah, perawat ramah, pelayanan obat tidak lama, semoga semakin baik",positif,RSU Anna Medika Madura
q pita,3 bulan lalu,"Tempatnya uda semakin baik, pelayanan juga bagus, alhamdulillah perawatnya jg ramah2, trimakasih karna uda banyak bantu persalinan saya lancar n selamat sehat semunya",positif,RSU Anna Medika Madura
wawan ariyanto,2 bulan lalu,"Pelayanannya bagus, petugasnya ramah. Daftar poli bisa lewat online, sangat memudahkan kalau ingin kontrol",positif,RSU Anna Medika Madura
Ayu Rahayu,2 bulan lalu,"Rumah Sakit dengan pelayanan terbaik, Dari awal masuk RS sampe selesai pelayanan tidak mengecewakan meskipun pakai BPJS pelayanan tidak dibedakan",positif,RSU Anna Medika Madura
Azka Kia,sebulan lalu,Alhamdulillah setiap periksa ke poli rawat jalan RSU Anna Medika mendapatkan pelayanan yang baik. Petugasnya ramah2 sabar dan sigap terima kasih rsu Anna Medika,positif,RSU Anna Medika Madura
siti aisyabasri,2 bulan lalu,"selalu rajin kontrol poli kandungan dengan dr desak, sampai lahiran pun ditanganin beliau.. alhamdulillah pelayanannya selalu ramah dan cepat",positif,RSU Anna Medika Madura
Anas MUSLEM,sebulan lalu,"Alhamdulillah meski bulan puasa pelayanannya tetep bagusss, petugas nya meski puasa tetep semangat melayani, dan tetep sat set seperti biasa nya.
 TERIMAKASIH RSU ANNA MEDIKA MADURA",positif,RSU Anna Medika Madura
dul_ adhim,sebulan lalu,"Pelayanannya cepat, perawat/karyawan nya ramah², terus yg bikin gagal fokus backsound nya orang ngaji,",positif,RSU Anna Medika Madura
hafidhotun muchlishinah,sebulan lalu,"Alhamdulillah rsu anna medika pelayanannya bagus. Saya pernah periksa ke rsu anna medika, Mulai dari staf pendaftaran, bidan/perawat dan juga dokternya sangat ramah. Terimakasih rsu anna medika",positif,RSU Anna Medika Madura
Hafifatul Ilmiyah,2 bulan lalu,"Pelayanan bagus, dokter dan perawatnya ramah-ramah. tempat bersih, tapi cuma kamar mandi dalam kamar yang kurang bersih. Lebih nyaman pakai kamar mandi umum harum dan bersih. Overall bagus",positif,RSU Anna Medika Madura
Siti Mutiah,sebulan lalu,"Alhamdulillah lahiran 2 kali di rsu anna medika pelayanannya baik, perawatnya baik, ramah dan dokternya juga bagus
 Terimakasih anna medika",positif,RSU Anna Medika Madura
Nahdia Putri,sebulan lalu,Rsu anna medika madura memiliki pelayanan yang sangat ramah kepada pasien mulai dari pendaftaran smpai pelayanan semoga kedepannya bisa semakin berkembang,positif,RSU Anna Medika Madura
Fita Sumiati,2 minggu lalu,Utk pelayanannya bagus bangett & Tempatnya bersih Harum .. Anna medika The best,positif,RSU Anna Medika Madura
Ani Lestari,sebulan lalu,"RSU ANNA MEDIKA merupakan tempat yang nyaman. Memberikan pelayanan yang baik, baik dari perawat maupun dokternya. Petugas juga sangat ramah.",positif,RSU Anna Medika Madura
Aqiella Fadia Hayya,2 bulan lalu,RSU Anna Medika adalah rumah sakit terbaik mulai dari pelayanan yg sangat ramah kemudian karyawan yg sangat baik dan sabar gak heran kalau RSU Anna Medika akhir akhir ini jadi makin lebih ramai dan jadi pilihan utama masyarakat madura,positif,RSU Anna Medika Madura
Azka Azkia,seminggu lalu,"Rumah sakit andalan saat membutuhkan pelayanan kesehatan , Alhamdulillah semua rekomended",positif,RSU Anna Medika Madura
Halimatus Sa'diyah,sebulan lalu,Pengalaman melahirkan anak ke dua di RSU Anna Medika mendapatkan pelayanan yang baik.petugasnya ramah2.tempatnya juga bersih. Terima kasih RSU Anna medika,positif,RSU Anna Medika Madura
Mochamad Agung Aulia,6 tahun lalu,RS-nya baru dengan pelayanan yg ramah dlm melayani customer. Untk sementara ini tmptnya bersih dan oke tp sayang pelayanan apotek (ambil obatnya) super lama sekali hahaha..,positif,RSU Anna Medika Madura
hetty dwi mayasari,2 bulan lalu,"Pertama kali ksni dan Sangat puas bgt dengan pelayananya,,RS jg bersih...jd merasa nyaman dsni..",positif,RSU Anna Medika Madura
Dita Oktavia,2 bulan lalu,"Semua perawatnya ramah, dokter nya pun juga bagus pelayanan ke pasien, tempatnya selalu bersih",positif,RSU Anna Medika Madura
Yanuar Dewi Pangesti,2 bulan lalu,"Pelayanan dan fasilitas oke, semoga terus mempertahankan kualitas yg baik untuk kesehatan masyarakat",positif,RSU Anna Medika Madura
Farieza Faris,2 bulan lalu,"Bukan hanya di poli saja merasakan puas pelayanannya saat opname pun juga nyaman pelayanannya, ada foto baby juga setehlah saya melahirkan",positif,RSU Anna Medika Madura
Rozi Rian,2 bulan lalu,"Alhamdulillah pelayanan di anna medika bagus, pelayanan dari poli sampai rawat inap nya pun semua memuaskan",positif,RSU Anna Medika Madura
Fena Juwita,sebulan lalu,Rs annamedika madura pelayanannya sudah cukup baik dan karyawannya sangat ramah semoga di pertahankan dan selalu berkembang,positif,RSU Anna Medika Madura
Wahyuli Vera S P,sebulan lalu,"Pelayanannya sangat bagus, tempat bersih, petugas, perawat dan dokter ramah ramah. Terimakasih RSU Anna Medika Madura",positif,RSU Anna Medika Madura
Joko Yusap,2 minggu lalu,"Pelayanan bagus, dokter nya baik perawat nya cepat melayani",positif,RSU Anna Medika Madura
Masrufah,5 hari lalu,Rumah Sakitnya Bagus Dan Pelayanannya Baik Dan Fasilitas Sesuai,positif,RSU Anna Medika Madura
Alfian Nuril Laily Abror,2 bulan lalu,Pelayanannya sangat ramah dan fasilitas bagus,positif,RSU Anna Medika Madura
Diska Putri,2 bulan lalu,"Bersih , bagus rs nya .
 Pelayanan ramah responnya cepet .
 Setiap hari denger murotal alhamdulillah
 Jadi ga takut kalo di rs ini .",positif,RSU Anna Medika Madura
Siti Chotijah,sebulan lalu,Begitu baik. Bersih. Aman. Jaminan pulang sehat. Pelayanan begitu memuaskannn,positif,RSU Anna Medika Madura
Seronah ateh Tadek oreng taoh,2 bulan lalu,"terima kasih RS Anna Medika Madura, pelayanannya bagus, tempatnya bersih & bidannya ramah. IS THE BEST dah pokoknya buat RS ANNA MEDIKA MADURA",positif,RSU Anna Medika Madura
ASMA INAS TESA,2 bulan lalu,"Petugas nya Selalu mengedepankan kebutuhan dan pelayanan pasien, kebersihan kamar selalu terjaga dibersihkan 2X sehari",positif,RSU Anna Medika Madura
BOMB GAMING,5 hari lalu,Pelayan sangat baik. perawatnya murah senyum,positif,RSU Anna Medika Madura
Hikmatul Laily,seminggu lalu,Alhamdulillah. Operasi Maternal di RS Ini sangat memuaskan. Terimakasih RSU Anna Medika,positif,RSU Anna Medika Madura
Putri Rohmah,2 bulan lalu,"Pelayanannya bagus, petugasnya ramah, tempatnya bersih, untuk pendaftaran polinya juga gampang",positif,RSU Anna Medika Madura
Fitria Novita sari,5 hari lalu,pelayanan sangat baik dan perawatnya juga baik semuanya,positif,RSU Anna Medika Madura
Siti fatimatus Zahroh,5 hari lalu,pelayanannya baik sekali kepada pasien!!!!,positif,RSU Anna Medika Madura
Moh.Iqbal Maulana,2 bulan lalu,"Pelayanan cukup baik, khusus yg mau lahiran sc pelayanan bidannya di perbaiki",positif,RSU Anna Medika Madura
Inara Farzananda,2 bulan lalu,"Berobat dengan dr.Adhi Sp.OT sangat memuaskan, konsultasi enak dokter nya ramah dan sangat solutif âœ¨",positif,RSU Anna Medika Madura
dhellaatmaria putri,2 bulan lalu,mulai kontrol ke.poli kandungan sampai melahirkan dengan dr.desak selalu memuaskan pelayanannya,positif,RSU Anna Medika Madura
Ulya Jannah,4 minggu lalu,Alhamdulillah lahiran di RS anna medika madura sangat puas pelayanan nya baik tanggap,positif,RSU Anna Medika Madura
emilda ayu,sebulan lalu,Semoga RSU AMM semakin jaya dan selalu memberikan pelayanan Paripurna untuk seluruh pasien,positif,RSU Anna Medika Madura
Ana Afiana Irawati Shonia,sebulan lalu,"Pelayanannya bagus, pegawainya ramah2 maju terus RSU ANNA MEDIKA",positif,RSU Anna Medika Madura
Tomo Rawat Luka Bangkalan,sebulan lalu,"Layanan baik dan memuaskan untuk pasien, kamar bersih dan rapi.",positif,RSU Anna Medika Madura
Sofia Habira,2 bulan lalu,"pelayanannya bagus, perawat dan dokter nya juga ramah, kamarnya bersih",positif,RSU Anna Medika Madura
Linda wati,2 bulan lalu,"Alhamdulillah pelayanannya bagus banget, seperti ada keluhan cepat ditanggapi",positif,RSU Anna Medika Madura
Lailatul Fitria Ningsih,2 bulan lalu,Bagus pelayanan nya gercep smua pertahankan team kru Anna medica,positif,RSU Anna Medika Madura
Eka Silfiana putri,sebulan lalu,"Penangananya sangat bagus .
 Ruangan nya juga bgus bersih .. ga terlalu antri jugaa..",positif,RSU Anna Medika Madura
Moh. lutfi,5 hari lalu,"Petugasnya Baik, ramah dan kekeluargaan... Jaya selalu RSU AMM",positif,RSU Anna Medika Madura
Mulya Dilya,sebulan lalu,"Tempat nyaman,kamar tidak sesak dan rame",positif,RSU Anna Medika Madura
Hayuni Yun,sebulan lalu,"RSU Anna medika sangat bagus pelayanan dan sangat tanah untuk tempat sangat nyaman,semoga tambah lancar RSU Medika madura tambah maju",positif,RSU Anna Medika Madura
Maulidya Tunggadewi,2 bulan lalu,Setelah operasi SC alhamdulillah ada sesi foto bayi juga.. pelayanannya oke,positif,RSU Anna Medika Madura
Eky Vesi,4 bulan lalu,"tempatnya bersih, dokter spesialisnya juga lengkap, alur pendaftarannya jelas bisa lebih mudah via JKN mobile juga",positif,RSU Anna Medika Madura
Lulu'atul Illiyah,2 bulan lalu,Alhamdulillah bisa lahiran d rs annamedika dengan lancar tempatnya nyaman dan kebersihannya terjaga,positif,RSU Anna Medika Madura
Holilulloh science,2 bulan lalu,"Terkait pelayanan disini bagus, perawat nya juga bagus pelayanannya.",positif,RSU Anna Medika Madura
Eva Inayatulmaula,2 bulan lalu,"Pelayanannya bagus perawat dan bidannya ramah, cantik2 dan sigap. Terimakasih Bu perawat dan Bu bidan",positif,RSU Anna Medika Madura
Rowani Ilham,4 bulan lalu,Pelayanan oke banget ramah dan satset gercep Biarkan bintang yang menilainya Sangat memuaskan,positif,RSU Anna Medika Madura
Lek Iyeh,2 bulan lalu,Pelayanan memuaskan dari poli sampai saya rawat inap selalu bagus,positif,RSU Anna Medika Madura
Hakaishin Beerus,2 bulan lalu,"Pelayanan baik, ramah, kebersihan dan kamar pasien ok",positif,RSU Anna Medika Madura
Se_ Raddin,sebulan lalu,"Selama ini tindakan selalu di amann, dan deket bgt sama rumah jadii okeee ",positif,RSU Anna Medika Madura
Sherlly Nathasia,2 bulan lalu,"Pelayanan memuaskan, perawatnya ramah2 sekali.",positif,RSU Anna Medika Madura
Di To,2 bulan lalu,"Perawatan disini memuaskan, dokter selalu visite tempat nya juga selalu bersih",positif,RSU Anna Medika Madura
"Selly firmansyah ,dr Wildan 20 /wardah 28",2 bulan lalu,Perawat nya selalu sigap terhadap keluhan pasien yang dirawat dan langsung d konsulkan ke dokter nya,positif,RSU Anna Medika Madura
Dara Sagita,5 hari lalu,"Pelayanannya sangat bagus, tenaga kesehatannya ramah ramah",positif,RSU Anna Medika Madura
chairun nisak93,2 bulan lalu,"Perawatnya ramah2, selalu gercep menangani pasien",positif,RSU Anna Medika Madura
Yasinta Eka Aprilia,sebulan lalu,"RS dengan pelayanannya yang baik, memuaskan,perawat dan dokternya sangat ramah,baik",positif,RSU Anna Medika Madura
Sunah Perumnas,2 bulan lalu,"Bagus pelayanan.a baik,respon dokter dan perawat.a baik",positif,RSU Anna Medika Madura
Rahmad Gunawan,sebulan lalu,"Tempatnya strategis, pelayanannya sangat bagus, petugas medisnya sangat sigap",positif,RSU Anna Medika Madura
Robithatil Khoirot,sebulan lalu,Rumah sakit dengan pelayanan petugas ramah dan fasilitas yang nyaman,positif,RSU Anna Medika Madura
Siti Alvia,seminggu lalu,"Pelayanan baik, ruangan bersih selalu rapi",positif,RSU Anna Medika Madura
Bayhaqi Arrifqi,2 bulan lalu,Dari pemeriksaan saat d poli sampai rawat inap pelayanannya memuaskan,positif,RSU Anna Medika Madura
Anggun Kamila,sebulan lalu,"Pelayanan ,dokter, perawat nya baik semua , recommended",positif,RSU Anna Medika Madura
achmad choirul saleh,2 bulan lalu,Pelayanannya maksimal tidak membedakan BPJS/umum rekomendasi banget,positif,RSU Anna Medika Madura
anita yuliatin,2 bulan lalu,"Alhamduliilah pelayannanya bagus dan cepat, ditanganinya dan bersih kamar mandinya...",positif,RSU Anna Medika Madura
Titin Zaitun,2 bulan lalu,"pelayanan sangat baik, ramah dan murah senyum semua",positif,RSU Anna Medika Madura
Rizka Kurniawati,sebulan lalu,RS Swasta terbaik Yang lalu memberikan pelayanan terbaik untuk pasien,positif,RSU Anna Medika Madura
Fitri Yani,2 bulan lalu,"Alhdulillah pelayanan bagus semua juga bagus,perawatnya ramah2",positif,RSU Anna Medika Madura
Bak Dania,sebulan lalu,Pelayanannya bagus dari awal kontrol dokternya baik,positif,RSU Anna Medika Madura
good Job,2 bulan lalu,"Pelayanan baik dan ramah,dokternya baik, tempatnya bersih.",positif,RSU Anna Medika Madura
agus prayitno,2 bulan lalu,"Tempat nya nyaman, pelayanan nya oke, dokter nya care bangeeett",positif,RSU Anna Medika Madura
Qonita Almahira,2 bulan lalu,"Saya pasien poli obgyn, dokter nya ramah banget enak untuk konsultasi",positif,RSU Anna Medika Madura
zairan borneo,2 bulan lalu,"Pelayanannya sangat memuaskan, terimakasih RS anamedika Bangkalan",positif,RSU Anna Medika Madura
Tri W,2 bulan lalu,"Tempat nya bersih, pelayanan nya bagus, dokter nya selalu visite",positif,RSU Anna Medika Madura
MR Nadhifi,5 hari lalu,Baik pelayanan nya baik sekali dan nyaman,positif,RSU Anna Medika Madura
SITI NDURIYAH,setahun lalu,"Rawat Inap kurang lebih 5 hari. Alhamdulillah disini dari pelayanan IGD sampai rawat inap super baik dan cukup memuaskan. Dokter ramah, perawat sampai satpam juga ramah banget. ",positif,RSU Anna Medika Madura
Repan Kurniawan,seminggu lalu,Biar Bintang Yang Menjelaskan Is the best dahh,positif,RSU Anna Medika Madura
Rus Miati,2 bulan lalu,Sudan 1th menhaden patient Anna medika pelayanan nya bagus,positif,RSU Anna Medika Madura
Abdul Jalil,sebulan lalu,"Terimakasih sudah dilayani dengan baik, pusa banget dehh pokoknya ",positif,RSU Anna Medika Madura
Dian Istighfarin,2 bulan lalu,Rumah sakit dengan pelayanan unggul dan selalu ramah petugasnya,positif,RSU Anna Medika Madura
Hesti Nurmala budianti,sebulan lalu,Rumah sakit bersih pelayanan baik,positif,RSU Anna Medika Madura
Robbi Arie Siswanto,sebulan lalu,Bersih dan ramah pelayanannya..mantul..,positif,RSU Anna Medika Madura
Isrotul Hasanah,2 bulan lalu,"Pelayanan, kebersihan, ketanggapan petugas semua baik.. rekomended",positif,RSU Anna Medika Madura
Naila askiyati,3 minggu lalu,Dokter nya ramah dan tanggap melayani pasien,positif,RSU Anna Medika Madura
Ach bahri,5 hari lalu,Operasi prostat dg dr.ari pelayanannya bagus,positif,RSU Anna Medika Madura
Anam Arka Anas,sebulan lalu,"Pelayanan bagus, semoga terus ditingkatkan.",positif,RSU Anna Medika Madura
Bibot Gmail,3 bulan lalu,Pelayanan bagus perawat dokternya ramah banget,positif,RSU Anna Medika Madura
Moh Kaffal,11 bulan lalu,"Pertama kali istri sya di opname dan di rawat inap..Kesan pertama masuk IGD pelayanan nya cepat dan perawatnya ramah""...Makan 3x sehari, kebersihan ok, karna ada Cleaning service setiap hari ",positif,RSU Anna Medika Madura
zt as,setahun lalu,"baguss bgt pelayanannya, saya selama opname disana perawatnya ramah, staff, dokter semua ramah.. setiap hari juga ada cleaning servicenya. di IGD juga penanganannya cepat. cuma yang lama kalau mau masuk kamar aja sih. selebihnya oke",positif,RSU Anna Medika Madura
Edy Eboy 24,2 bulan lalu,Pelayanan poli dan rawat inap semua nya oke,positif,RSU Anna Medika Madura
Uswatun Hasanah,5 hari lalu,"Pelayanan baik, perawatnya juga humble",positif,RSU Anna Medika Madura
Henda Anie,3 bulan lalu,"Klinik Anna Medika, apakah ada IGD nya. Mohon direspon. Terimakasih",positif,RSU Anna Medika Madura
Moh Malik,sebulan lalu,Pelayanannya baik dan cepat sangat puas sekali,positif,RSU Anna Medika Madura
Hilmyatul Islamia,2 bulan lalu,"pelayanan farmasi oke, petugasnya ramah dan cepat",positif,RSU Anna Medika Madura
Mohammad Rofii,2 bulan lalu,Alhamdulilah saya puas dengan pelayanan dirumah sakit anamedika,positif,RSU Anna Medika Madura
Ach Fauzi,2 bulan lalu,Ada program foto bayi jadi lebih unggul pelayanannya,positif,RSU Anna Medika Madura
Putrimelati Indahsari,2 bulan lalu,Dokternya perawatnya ramah2 semua tempatnya bersih,positif,RSU Anna Medika Madura
Choyrul Azis,4 minggu lalu,Rumah sakitnya enak tempatnya dan pelayanannya juga enak,positif,RSU Anna Medika Madura
Finas Kianada,sebulan lalu,sering berobat ke poli di rs.anna sangat memuaskan poli paru dan poli mata,positif,RSU Anna Medika Madura
Halimatus Sakdiyah,2 bulan lalu,"Tempatnya nyaman,bersih. Perawatnya ramah",positif,RSU Anna Medika Madura
Dewi Fitriana,sebulan lalu,"Pelayanan cukup baik,,memuaskan",positif,RSU Anna Medika Madura
Mission Decoration,2 bulan lalu,Thanks Top pelayanan Fasilitas oke dikalangan menengah ke bawah,positif,RSU Anna Medika Madura
Salahudin Al Ayyubi,4 minggu lalu,"Pelayanan prima, terbaik rsu anna medika",positif,RSU Anna Medika Madura
sandy nyakamu,sebulan lalu,alhamdulillah pelayanannya sangat sangat baik sekali,positif,RSU Anna Medika Madura
suhaemi alfaroqi,2 bulan lalu,"Cukup bagus, semoga kedepannya semakin berkembang",positif,RSU Anna Medika Madura
ShintaAmalia 3005,5 hari lalu,tempat nyaman dan perawatnyaa ramah,positif,RSU Anna Medika Madura
Monica Dahlian,2 bulan lalu,"Pelayannya baik, perawatnya ramah, ..",positif,RSU Anna Medika Madura
Rayen Roy,2 bulan lalu,Pelayanannya bagus.. cepat dan memuaskan,positif,RSU Anna Medika Madura
Afifatun Naimah,sebulan lalu,"Pelayanannya bagus, adminnya juga ramah",positif,RSU Anna Medika Madura
Nissahn1908,seminggu lalu,Pelayanan sangat baik...,positif,RSU Anna Medika Madura
Nur Hasanah,2 bulan lalu,Alhamdulillah pelayanannya nyaman dan memuaskan,positif,RSU Anna Medika Madura
Ricke Ariefiantini,sebulan lalu,dari perawatan dan kamarnya sudah oke,positif,RSU Anna Medika Madura
giofany leomia hadi putra,sebulan lalu,"Pelayanan kesehatan Terbaik,",positif,RSU Anna Medika Madura
Budi Budi,2 bulan lalu,satpamnya sangat ramah pokoknya debes dah,positif,RSU Anna Medika Madura
Dimas Saputra,2 bulan lalu,Operasi dengan dr. Avicenna sangat memuaskan,positif,RSU Anna Medika Madura
Fitri Komala,3 tahun lalu,"Sekali opname di sini. Alhamdulillah kamarnya sesuai. Kelas 1 ya di kelas 1 gak ditaruh di kelas lain. Makanannya enak, berani main bumbu. Pelayanannya bagus sih, mau masuk kamar ketok pintu dulu. Jadi bisa siap2 pake jilbab kalo ada yg ",positif,RSU Anna Medika Madura
Nailus Sa'adah,2 minggu lalu,Pelayanannya baik ramah,positif,RSU Anna Medika Madura
Fahat 364,2 bulan lalu,Pelayanan sangat baik dan ramah,positif,RSU Anna Medika Madura
Vhia Alimatur,2 bulan lalu,Tempat bersih pelayanan bagus trimakasih,positif,RSU Anna Medika Madura
Qomaria Ulfa,2 bulan lalu,Pelayannnya baguss,positif,RSU Anna Medika Madura
Anjing Kintamani,2 minggu lalu,Pelayanan yang sangat ramah,positif,RSU Anna Medika Madura
khofifatun nabilah,setahun lalu,"pelayanannya sat set banget, kalau pasien butuh apa-apa langsung disiapin gapake lama, dokter dan perawatnya juga ramah",positif,RSU Anna Medika Madura
Royatul Askia,setahun lalu,"Terima kasih Rs anna medika madura palayanannya cepat perawat & dokrernya juga ramah, rumah sakitnya bersih, petugas kebersihannya sopan,,",positif,RSU Anna Medika Madura
Muhammad Fahad Hidayat,2 bulan lalu,Bagus sekali pelayanannya,positif,RSU Anna Medika Madura
UTM_Juan Sinaga,2 bulan lalu,Terima kasih sudah melayani dengan baik,positif,RSU Anna Medika Madura
Wardatun Nafisah,2 minggu lalu,Pelayanan baik,positif,RSU Anna Medika Madura
Arov imanul Muttaqien,2 bulan lalu,Pelayanan nya memuaskan,positif,RSU Anna Medika Madura
M. Bashori,2 bulan lalu,Pelayanan baik. Administrasi rapi,positif,RSU Anna Medika Madura
Isrok Mala,2 bulan lalu,Pelayanannya ramah dan baik,positif,RSU Anna Medika Madura
rahmad wahyudi,sebulan lalu,Service excellent mantap AMM,positif,RSU Anna Medika Madura
pitriayayu,5 hari lalu,Pelayanannya bagus,positif,RSU Anna Medika Madura
Ydda 2,setahun lalu,"Alhamdulillah, pelayanan administrasi online maupun offline sudah lebih cepat dari sebelumnya, tolong ditingkatkan lagi yaa â˜ºï¸",positif,RSU Anna Medika Madura
Atika Kamilah,5 hari lalu,untuk pelayanannya sangat baik,positif,RSU Anna Medika Madura
Nur Aini,seminggu lalu,Sangat baik,positif,RSU Anna Medika Madura
Gilang 2022,sebulan lalu,pelayanannya baik,positif,RSU Anna Medika Madura
Agnia,2 tahun lalu,Sangat sangat memuaskan. Pelayanan dan penanganan sangat sangat baik. Suster dan nurse nya ramah2. Pertahankan,positif,RSU Anna Medika Madura
Zeiniyetus sofiya,2 bulan lalu,Bagus ramah,positif,RSU Anna Medika Madura
Reza Riski,3 tahun lalu,"Rumah sakitnya bersih, pelayanannya ramah.",positif,RSU Anna Medika Madura
Ari Akbar,setahun lalu,Kalo mau MRS di bangkalan saya akan memilih tempat ini,positif,RSU Anna Medika Madura
Dilla Ns,5 hari lalu,"Sangat relevan, sangat bagus",positif,RSU Anna Medika Madura
Maulida Ahmad,sebulan lalu,pelayanan yang sangat baik,positif,RSU Anna Medika Madura
mukhlis susanto,2 bulan lalu,Sempurna,positif,RSU Anna Medika Madura
Risky Arisandi,6 tahun lalu,Rekomendasi,positif,RSU Anna Medika Madura
Wahid Ari,5 tahun lalu,pelayanan yang baik,positif,RSU Anna Medika Madura
Dian Dian,sebulan lalu,"Persalinan di amm cukup memuaskan, dari dokter dan perawat ok ramah dan perawat ranap mungkin ada 1 atau 2 org yg kelihatan jutek.
 Pindah dari bpjs kelas 2 ke kelas 1 dg tambahan biaya. Kualitasnya kurang untuk kamar mandi dan awal masuk ruangan bau kamar dan kamar mandi kurang enak",negatif,RSU Anna Medika Madura
Malas Gerak,2 tahun lalu,"Kalo ga kebagian dokter di RSUD Syamrabu, periksa disini aja. Dokter spesialisnya rata-rata dari RSUD (setelah kerja di RSUD, masuk ke tempat ini).",positif,RSU Anna Medika Madura
devi husdiyana Ulfa,3 tahun lalu,"Pelayanan cukup baik,,mungkin ada sedikit yg harus di perhatikan khususnya di ruang tunggu poli,,untuk suhu ruang tunggu khususnya poli syaraf dan depan farmasi dan fo ada 3 unit pendingin ruangan,tpi yg nyala hanya 1 unit,dengan jumlah",positif,RSU Anna Medika Madura
Christina Ningrum,2 bulan lalu,Alhamdulilah pelayanan bagus,positif,RSU Anna Medika Madura
Taufik R D A Nugroho,6 tahun lalu,"Rumah sakit baru di bangkalan, bersih, dingin",positif,RSU Anna Medika Madura
Riha Rahma Mufida,6 tahun lalu,"Salah satu rumah sakit yang berada di daerah Bangkalan. Rumah sakit umum ini masih baru, lokasinya dekat dengan jalan raya tetapi jika dari jalan raya utama disambut dengan becak seharga Rp. 5000. Pelayanan memuaskan dan petugasnya ramah. ",positif,RSU Anna Medika Madura
Cholilur Rohman,2 minggu lalu,"Untuk pelayanan, penanganan, pengurusan administrasi okelah cepat satset dan ok untuk pengguna BPJS, dokter suster dan perawatnya satset juga asli, cuma minta tolong KLO ada yg pengantar bawa banyak anak kecil tolong kasih himbauan untuk ",positif,RSU Anna Medika Madura
Savira R,2 tahun lalu,"Ke sini utk cek up pasca fraktur. Dokternya sih baik dan ramah ya cuma masalah waktu di sini kurang banget. Jadwal jam 1 tapi jadi jam 3, tanpa pemberitahuan. ",negatif,RSU Anna Medika Madura
Moh. Syahid,setahun lalu,"Perlu adanya peningkatan sistem antrian yg memudahkan, sdh 2 bln ini kami kurang puas terkait pelayanan daftar antrian sebagai contoh sy sdh mendaftar online di hr sabtu-minggu dan sdh acc online jg (by WA), namun ktika hr H kami kunjungan",negatif,RSU Anna Medika Madura
ARI KUNTATIARTI,setahun lalu,Kl buat jenguk px sih ok lah Kl buat priksa rujukan...ntr dl deh,negatif,RSU Anna Medika Madura
BASECAMP CHANNEL,setahun lalu,"Pelayanan bagus, para bidan dan dokter cepat pelayanannya.... tapi tidak atau kurang bagus di urusan pelayanan BPJS.... menunggu sampai 1 hari untuk pulang.",negatif,RSU Anna Medika Madura
Rika patricia,4 tahun lalu,pernah periksa pelayanannya ramah. cuma lambat di bagian obat aja. semoga lebih ditingkatkan lagi,negatif,RSU Anna Medika Madura
Siti kutibah maqfiroh,2 tahun lalu,Daftar poli gigi dari pagi sampe jam 2 siang msh belum di panggil padahal jadwal dokter jam 12,negatif,RSU Anna Medika Madura
Soraydah Lagunu,3 tahun lalu,Pelayanan baik cuma telpon nya gak pernah diangkat padahal telpon berpuluh kali,negatif,RSU Anna Medika Madura
Lek Wijay,2 tahun lalu,Kurang puas sih,negatif,RSU Anna Medika Madura
Syafariatul Mukaromah,2 bulan lalu,"Tadinya saya mau kasih bintang 5, tapi berhubung saya pulang dibiarkan berjalan dengan kaki pincang dikarenakan habis OP kaki,tanpa diantarkan kursi roda dan juga tidak ada penawaran dari susternya yg berada di LT 2 cuma dilihat saja..",negatif,RSU Anna Medika Madura
Razak Oke,3 bulan lalu,"Perawat y kurang gercep tiap butuh bantuan pengaduan ganti infus atau yg lain2 pasti bilangnya tunggu sebentar, tapi nunggunya sampai 2 jam lamanya. Padahal dikerjainnya cuma 2 menit. Tolong di perbaikin",negatif,RSU Anna Medika Madura
Miftahul Huda,4 bulan lalu,Masuk ngantar ibu berobat pendaftran nya cepat pelayanan tensi dan perawat cepat cuma nunggu dokternya lama tanpa ada pemberitahuan pemeriksaan dokter ramah antri obat nya lamaaaa,negatif,RSU Anna Medika Madura
Robiatul Adawiyah,3 tahun lalu,"Nganter saudara periksa kandungan sampe lahiran disini. dokter kandungannya sangat baik (dr. Nur waqiah spog), ramah bgt kepasien. Sayangnya disini pake sistem kuota gitu...klo kuota pendaftaran full kita disuruh balik lg besoknya dan ",negatif,RSU Anna Medika Madura
Pratanu Herbal,setahun lalu,"Baru kali ini saya menemukan RS tidak ada kasir. Alasannya kasir sakit, jd pulang lbh awal. Emang tidak ada penggantinya?
 Alhasil kami suruh untuk deposit terlebih dahulu, rincian biaya keesokan harinya",negatif,RSU Anna Medika Madura
Puspita's Study Corner,8 bulan lalu,"kamar rawat inap sangat ramai, pasien tidak bisa istirahat padahal seharusnya penunggu cuma 2 tapi banyak bgt yg datang di luar jam besuk. banyak pengunjuk duduk di lorong jalan dan menghalangi jalan pasien dan nakes tapi ga ada tindakan. ",negatif,RSU Anna Medika Madura
Mimie Winda,setahun lalu,"Maaf saya harus kasih bintang 2. Kenyamanan rawat inap sangat kurang, rawat inap di lt.2, air mati cukup lama. Sangat kendala untuk cuci tangan dan bebersih setelah bak dan bab. Kebersihan kamar inap juga kurang, dibersihkan sekali sehari.",negatif,RSU Anna Medika Madura
